"ID","Species","metersLongitude","metersLatitude","decimalLatitude","decimalLongitude","source_ID","Sex","Age","Day","Month","Year","sampling_method","uncertainty","Sourcefile","yDay","wind_killed","d2H"
"X171","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald252","F","J",7,8,2006,"TURBINE_CARCASS",NA,"Baerwald",219,"yes",-47.0686835360797
"X172","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald253","M","J",18,8,2007,"TURBINE_CARCASS",NA,"Baerwald",230,"yes",-141.97505796562
"X173","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald254","M","J",16,8,2007,"TURBINE_CARCASS",NA,"Baerwald",228,"yes",-138.407563865531
"X174","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald255","M","J",12,8,2007,"TURBINE_CARCASS",NA,"Baerwald",224,"yes",-131.297062795
"X175","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald256","M","J",19,8,2007,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-129.003293045809
"X176","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald257","M","J",19,8,2007,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-124.425786733443
"X177","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald258","M","J",19,8,2007,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-122.463441166815
"X178","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald259","M","J",26,8,2006,"TURBINE_CARCASS",NA,"Baerwald",238,"yes",-120.309623449857
"X179","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald26","F","A",18,9,2006,"TURBINE_CARCASS",NA,"Baerwald",261,"yes",-89.5887160793618
"X180","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald260","M","J",5,8,2007,"TURBINE_CARCASS",NA,"Baerwald",217,"yes",-118.72987732768
"X181","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald261","M","J",18,8,2007,"TURBINE_CARCASS",NA,"Baerwald",230,"yes",-116.496127134851
"X182","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald262","M","J",16,8,2007,"TURBINE_CARCASS",NA,"Baerwald",228,"yes",-115.152712511275
"X183","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald263","M","J",10,8,2007,"TURBINE_CARCASS",NA,"Baerwald",222,"yes",-114.216688414571
"X184","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald264","M","J",11,8,2007,"TURBINE_CARCASS",NA,"Baerwald",223,"yes",-113.661975392173
"X185","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald265","M","J",3,9,2007,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-113.506847065221
