Species,location,date,age,sex,dD,dN,dC,dDprecip,ID,Source,month,day,year
Lasionycteris noctivagans,Summerview,29-Aug-06,a,m,-124.68,7.79,-24.93,-81.190396,S49,Baerwald,8,29,2006
Lasionycteris noctivagans,Summerview,16-Aug-06,a,m,-124.63,7.1,-25.06,-81.156786,S50,Baerwald,8,16,2006
Lasionycteris noctivagans,Summerview,9-Sep-06,a,m,-124.6,8.8,-25.45,-81.13662,S51,Baerwald,9,9,2006
Lasionycteris noctivagans,Summerview,28-Aug-07,a,m,-121.44,7.7,-26.57,-79.012468,S52,Baerwald,8,28,2007
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-120.08,7.55,-24.9,-78.098276,S53,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-119.12,7.82,-24.52,-77.452964,S54,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,2-Sep-06,a,m,-116.77,7.3,-24.67,-75.873294,S55,Baerwald,9,2,2006
Lasionycteris noctivagans,Summerview,22-Aug-07,a,m,-116.5,8.94,-24.37,-75.6918,S56,Baerwald,8,22,2007
Lasionycteris noctivagans,Summerview,28-Aug-07,a,m,-116.28,8.87,-26.13,-75.543916,S57,Baerwald,8,28,2007
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-114.98,10.19,-22.83,-74.670056,S58,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-114.6,7.25,-25.7,-74.41462,S59,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,22-Aug-07,a,m,-113.39,9.26,-26.85,-73.601258,S60,Baerwald,8,22,2007
Lasionycteris noctivagans,Summerview,22-Aug-07,a,m,-113.37,8.75,-24.97,-73.587814,S61,Baerwald,8,22,2007
Lasionycteris noctivagans,Summerview,25-Sep-06,a,m,-112.48,7.79,-24.69,-72.989556,S62,Baerwald,9,25,2006
Lasionycteris noctivagans,Summerview,13-Aug-06,a,m,-100.08,11.08,-21.88,-64.654276,S63,Baerwald,8,13,2006
Lasionycteris noctivagans,Summerview,3-Sep-06,a,m,-67.66,6.6,-25.23,-42.861552,S64,Baerwald,9,3,2006
Lasionycteris noctivagans,Summerview,25-Aug-07,j,f,-200.1,11.19,-25.61,-131.88772,S65,Baerwald,8,25,2007
Lasionycteris noctivagans,Summerview,3-Sep-07,j,f,-179,8.85,-27.72,-117.7043,S66,Baerwald,9,3,2007
Lasionycteris noctivagans,Summerview,17-Aug-07,j,f,-169.77,11.64,-26.22,-111.499894,S67,Baerwald,8,17,2007
Lasionycteris noctivagans,Summerview,1-Sep-07,j,f,-160.47,8.18,-26.82,-105.248434,S68,Baerwald,9,1,2007
Lasionycteris noctivagans,Summerview,26-Aug-06,j,f,-158.89,9.25,-25.86,-104.186358,S69,Baerwald,8,26,2006
Lasionycteris noctivagans,Summerview,24-Aug-07,j,f,-152.99,10.9,-25.41,-100.220378,S70,Baerwald,8,24,2007
Lasionycteris noctivagans,Summerview,19-Aug-07,j,f,-147.32,9.88,-23.57,-96.409004,S71,Baerwald,8,19,2007
Lasionycteris noctivagans,Summerview,23-Aug-07,j,f,-146.44,10.04,-23.88,-95.817468,S72,Baerwald,8,23,2007
Lasionycteris noctivagans,Summerview,28-Aug-07,j,f,-145.3,8.07,-24.68,-95.05116,S73,Baerwald,8,28,2007
Lasionycteris noctivagans,Summerview,9-Aug-06,j,f,-141.32,11.59,-24.62,-92.375804,S74,Baerwald,8,9,2006
Lasionycteris noctivagans,Summerview,29-Aug-07,j,f,-136.5,8.61,-25.85,-89.1358,S75,Baerwald,8,29,2007
Lasionycteris noctivagans,Summerview,3-Sep-07,j,f,-136.14,6.1,-25,-88.893808,S76,Baerwald,9,3,2007
Lasionycteris noctivagans,Summerview,15-Aug-07,j,f,-135.94,9.36,-24.61,-88.759368,S77,Baerwald,8,15,2007
Lasionycteris noctivagans,Summerview,13-Sep-06,j,f,-135.68,8.82,-24.9,-88.584596,S78,Baerwald,9,13,2006
Lasionycteris noctivagans,Summerview,6-Aug-06,j,f,-135.27,12.49,-26.25,-88.308994,S79,Baerwald,8,6,2006
Lasionycteris noctivagans,Summerview,31-Aug-07,j,f,-135.25,7.06,-25.42,-88.29555,S80,Baerwald,8,31,2007
Lasionycteris noctivagans,Summerview,9-Sep-06,j,f,-133.49,8.22,-22.86,-87.112478,S81,Baerwald,9,9,2006
Lasionycteris noctivagans,Summerview,11-Sep-06,j,f,-132.47,7.66,-25.03,-86.426834,S82,Baerwald,9,11,2006
Lasionycteris noctivagans,Summerview,12-Aug-07,j,f,-132.22,10.98,-24.11,-86.258784,S83,Baerwald,8,12,2007
Lasionycteris noctivagans,Summerview,20-Aug-07,j,f,-128.94,10.33,-23.79,-84.053968,S84,Baerwald,8,20,2007
Lasionycteris noctivagans,Summerview,3-Sep-07,j,f,-126.07,7.11,-24.82,-82.124754,S85,Baerwald,9,3,2007
Lasionycteris noctivagans,Summerview,14-Aug-06,j,f,-125.69,10.29,-24.42,-81.869318,S86,Baerwald,8,14,2006
Lasionycteris noctivagans,Summerview,12-Aug-06,j,f,-125.34,11.02,-22.75,-81.634048,S87,Baerwald,8,12,2006
Lasionycteris noctivagans,Summerview,13-Aug-07,j,f,-124.37,10.06,-24.18,-80.982014,S88,Baerwald,8,13,2007
Lasionycteris noctivagans,Summerview,1-Sep-07,j,f,-123.99,9.2,-25.82,-80.726578,S89,Baerwald,9,1,2007
Lasionycteris noctivagans,Summerview,19-Sep-06,j,f,-122.21,7.84,-23.99,-79.530062,S90,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,17-Aug-06,j,f,-121.15,9.96,-25.1,-78.81753,S91,Baerwald,8,17,2006
Lasionycteris noctivagans,Summerview,14-Aug-06,j,f,-117.91,10.74,-23.79,-76.639602,S92,Baerwald,8,14,2006
Lasionycteris noctivagans,Summerview,29-Aug-07,j,f,-115.63,11.02,-23.15,-75.106986,S93,Baerwald,8,29,2007
Lasionycteris noctivagans,Summerview,14-Aug-06,j,f,-112.99,10.45,-24.3,-73.332378,S94,Baerwald,8,14,2006
Lasionycteris noctivagans,Summerview,19-Sep-06,j,f,-102.41,7.7,-24.85,-66.220502,S95,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,3-Sep-07,j,m,-185.01,6.47,-26.36,-121.744222,S96,Baerwald,9,3,2007
Lasionycteris noctivagans,Summerview,13-Aug-07,j,m,-180.45,11.41,-24.22,-118.67899,S97,Baerwald,8,13,2007
Lasionycteris noctivagans,Summerview,13-Aug-07,j,m,-161.96,10.68,-25.18,-106.250012,S98,Baerwald,8,13,2007
Lasionycteris noctivagans,Summerview,1-Sep-07,j,m,-155.65,8.58,-25.35,-102.00843,S99,Baerwald,9,1,2007
Lasionycteris noctivagans,Summerview,9-Sep-06,j,m,-154.27,7.13,-27.24,-101.080794,S100,Baerwald,9,9,2006
Lasionycteris noctivagans,Summerview,1-Sep-07,j,m,-153.68,7.1,-24.81,-100.684196,S101,Baerwald,9,1,2007
Lasionycteris noctivagans,Summerview,31-Aug-07,j,m,-153.53,9.93,-24.49,-100.583366,S102,Baerwald,8,31,2007
Lasionycteris noctivagans,Summerview,17-Aug-06,j,m,-142.66,7.73,-24.95,-93.276552,S103,Baerwald,8,17,2006
Lasionycteris noctivagans,Summerview,3-Sep-07,j,m,-136.41,6.98,-24.84,-89.075302,S104,Baerwald,9,3,2007
Lasionycteris noctivagans,Summerview,29-Aug-07,j,m,-134.78,9.46,-25.48,-87.979616,S105,Baerwald,8,29,2007
Lasionycteris noctivagans,Summerview,3-Sep-07,j,m,-132.17,7.7,-25.69,-86.225174,S106,Baerwald,9,3,2007
Lasionycteris noctivagans,Summerview,22-Aug-07,j,m,-131.47,11.47,-25.25,-85.754634,S107,Baerwald,8,22,2007
Lasionycteris noctivagans,Summerview,20-Aug-06,j,m,-129.83,7.98,-24.33,-84.652226,S108,Baerwald,8,20,2006
Lasionycteris noctivagans,Summerview,30-Aug-06,j,m,-128.19,8.32,-25.27,-83.549818,S109,Baerwald,8,30,2006
