Species,location,date,age,sex,dD,dN,dC,dDprecip,ID,Source,month,day,year
Lasiurus cinereus,Summerview,29-Jul-06,a,m,-80.24,8.84,-22.47,-57.296256,H94,Baerwald,7,29,2006
Lasiurus cinereus,Summerview,6-Aug-06,a,m,-79.73,10.34,-22.83,-56.915337,H95,Baerwald,8,6,2006
Lasiurus cinereus,Summerview,11-Aug-06,a,m,-78.41,8.71,-22.91,-55.929429,H96,Baerwald,8,11,2006
Lasiurus cinereus,Summerview,16-Aug-06,a,m,-73.77,7.99,-22.86,-52.463813,H97,Baerwald,8,16,2006
Lasiurus cinereus,Summerview,23-Aug-07,j,f,-191.36,7.15,-25.39,-140.291784,H98,Baerwald,8,23,2007
Lasiurus cinereus,Summerview,15-Aug-07,j,f,-178.94,8.66,-25.38,-131.015286,H99,Baerwald,8,15,2007
Lasiurus cinereus,Summerview,28-Aug-06,j,f,-168.5,9.44,-23.68,-123.21765,H100,Baerwald,8,28,2006
Lasiurus cinereus,Summerview,17-Aug-07,j,f,-166.54,8.31,-24.66,-121.753726,H101,Baerwald,8,17,2007
Lasiurus cinereus,Summerview,15-Aug-07,j,f,-155.66,7.4,-26.03,-113.627454,H102,Baerwald,8,15,2007
Lasiurus cinereus,Summerview,18-Aug-07,j,f,-147.54,9.9,-24.33,-107.562626,H103,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,3-Aug-06,j,f,-146.54,7.09,-26.31,-106.815726,H104,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,23-Aug-06,j,f,-146.01,5.78,-25.38,-106.419869,H105,Baerwald,8,23,2006
Lasiurus cinereus,Summerview,19-Aug-07,j,f,-144.32,8.64,-24.98,-105.157608,H106,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,17-Aug-07,j,f,-143.25,7.08,-25.81,-104.358425,H107,Baerwald,8,17,2007
Lasiurus cinereus,Summerview,7-Aug-06,j,f,-140.68,8.23,-25.08,-102.438892,H108,Baerwald,8,7,2006
Lasiurus cinereus,Summerview,2-Aug-07,j,f,-137.17,9.36,-23.38,-99.817273,H109,Baerwald,8,2,2007
Lasiurus cinereus,Summerview,14-Aug-06,j,f,-135.62,7.61,-25.92,-98.659578,H110,Baerwald,8,14,2006
Lasiurus cinereus,Summerview,15-Aug-07,j,f,-133.64,9.77,-24.88,-97.180716,H111,Baerwald,8,15,2007
Lasiurus cinereus,Summerview,18-Aug-07,j,f,-133.1,7.44,-25.45,-96.77739,H112,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,19-Aug-07,j,f,-130.85,7.91,-24.11,-95.096865,H113,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,3-Aug-07,j,f,-123.49,8.33,-24.68,-89.599681,H114,Baerwald,8,3,2007
Lasiurus cinereus,Summerview,26-Aug-06,j,f,-121.86,12.26,-26.59,-88.382234,H115,Baerwald,8,26,2006
Lasiurus cinereus,Summerview,20-Aug-07,j,f,-121.76,6.38,-24.59,-88.307544,H116,Baerwald,8,20,2007
Lasiurus cinereus,Summerview,12-Aug-07,j,f,-119.82,10.58,-24.96,-86.858558,H117,Baerwald,8,12,2007
Lasiurus cinereus,Summerview,4-Aug-06,j,f,-118.96,7.27,-25.29,-86.216224,H118,Baerwald,8,4,2006
Lasiurus cinereus,Summerview,2-Aug-07,j,f,-115.66,8.32,-24.87,-83.751454,H119,Baerwald,8,2,2007
Lasiurus cinereus,Summerview,3-Aug-06,j,f,-112.24,8.91,-25.42,-81.197056,H120,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,17-Aug-07,j,f,-108.41,8.72,-23.9,-78.336429,H121,Baerwald,8,17,2007
Lasiurus cinereus,Summerview,15-Aug-06,j,f,-103.95,8.15,-22.69,-75.005255,H122,Baerwald,8,15,2006
Lasiurus cinereus,Summerview,19-Aug-06,j,f,-99.62,8,-23.84,-71.771178,H123,Baerwald,8,19,2006
Lasiurus cinereus,Summerview,5-Sep-06,j,f,-96.73,8.57,-24.36,-69.612637,H124,Baerwald,9,5,2006
Lasiurus cinereus,Summerview,3-Aug-06,j,f,-94.89,7.17,-26.02,-68.238341,H125,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,28-Aug-06,j,f,-89.61,7.45,-22.89,-64.294709,H126,Baerwald,8,28,2006
Lasiurus cinereus,Summerview,3-Aug-07,j,f,-87.97,9.15,-23.99,-63.069793,H127,Baerwald,8,3,2007
Lasiurus cinereus,Summerview,3-Aug-07,j,f,-83.29,9.38,-24.83,-59.574301,H128,Baerwald,8,3,2007
Lasiurus cinereus,Summerview,1-Aug-07,j,f,-82.96,8.62,-23.59,-59.327824,H129,Baerwald,8,1,2007
Lasiurus cinereus,Summerview,5-Aug-06,j,f,-82.73,8.3,-22.97,-59.156037,H130,Baerwald,8,5,2006
Lasiurus cinereus,Summerview,10-Aug-07,j,f,-78.52,8.26,-22.05,-56.011588,H131,Baerwald,8,10,2007
Lasiurus cinereus,Summerview,3-Aug-06,j,f,-73.26,7.92,-22.81,-52.082894,H132,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,7-Aug-06,j,f,-67.9,8.88,-23.12,-48.07951,H133,Baerwald,8,7,2006
Lasiurus cinereus,Summerview,18-Aug-07,j,m,-179.4,9.23,-25.18,-131.35886,H134,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,16-Aug-07,j,m,-175.15,9.01,-26.35,-128.184535,H135,Baerwald,8,16,2007
Lasiurus cinereus,Summerview,12-Aug-07,j,m,-166.85,8.64,-24.7,-121.985265,H136,Baerwald,8,12,2007
Lasiurus cinereus,Summerview,19-Aug-07,j,m,-164.16,7.59,-24.8,-119.976104,H137,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,19-Aug-07,j,m,-158.76,7.97,-24.62,-115.942844,H138,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,19-Aug-07,j,m,-156.42,8.32,-24.99,-114.195098,H139,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,26-Aug-06,j,m,-153.87,6.98,-25.03,-112.290503,H140,Baerwald,8,26,2006
Lasiurus cinereus,Summerview,5-Aug-07,j,m,-152.04,8.65,-24.95,-110.923676,H141,Baerwald,8,5,2007
Lasiurus cinereus,Summerview,18-Aug-07,j,m,-149.48,8.95,-24.99,-109.011612,H142,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,16-Aug-07,j,m,-147.86,7.31,-25.53,-107.801634,H143,Baerwald,8,16,2007
Lasiurus cinereus,Summerview,10-Aug-07,j,m,-146.76,8.1,-24.35,-106.980044,H144,Baerwald,8,10,2007
Lasiurus cinereus,Summerview,11-Aug-07,j,m,-146.1,8.13,-24.6,-106.48709,H145,Baerwald,8,11,2007
Lasiurus cinereus,Summerview,3-Sep-07,j,m,-145.9,8.32,-25.03,-106.33771,H146,Baerwald,9,3,2007
Lasiurus cinereus,Summerview,19-Aug-07,j,m,-143.31,9.76,-25.21,-104.403239,H147,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,3-Aug-07,j,m,-141.96,9.05,-24.2,-103.394924,H148,Baerwald,8,3,2007
Lasiurus cinereus,Summerview,29-Aug-06,j,m,-141.19,5.91,-24.65,-102.819811,H149,Baerwald,8,29,2006
Lasiurus cinereus,Summerview,28-Aug-07,j,m,-137.41,9.36,-25.33,-99.996529,H150,Baerwald,8,28,2007
Lasiurus cinereus,Summerview,15-Aug-07,j,m,-136.31,9.35,-25.42,-99.174939,H151,Baerwald,8,15,2007
Lasiurus cinereus,Summerview,2-Aug-07,j,m,-135.08,8.56,-24.65,-98.256252,H152,Baerwald,8,2,2007
Lasiurus cinereus,Summerview,12-Aug-06,j,m,-134.77,7.54,-25.49,-98.024713,H153,Baerwald,8,12,2006
Lasiurus cinereus,Summerview,20-Aug-06,j,m,-126.4,9.13,-23.04,-91.77316,H154,Baerwald,8,20,2006
Lasiurus cinereus,Summerview,19-Aug-07,j,m,-126.08,6.7,-24.33,-91.534152,H155,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,8-Aug-06,j,m,-122.13,7.84,-24.46,-88.583897,H156,Baerwald,8,8,2006
Lasiurus cinereus,Summerview,10-Aug-07,j,m,-121.73,8.87,-24.91,-88.285137,H157,Baerwald,8,10,2007
Lasiurus cinereus,Summerview,18-Aug-06,j,m,-117.13,7,-24.92,-84.849397,H158,Baerwald,8,18,2006
Lasiurus cinereus,Summerview,3-Aug-06,j,m,-114.1,7.18,-25.29,-82.58629,H159,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,4-Aug-07,j,m,-108.31,8.93,-25.55,-78.261739,H160,Baerwald,8,4,2007
Lasiurus cinereus,Summerview,6-Aug-07,j,m,-107.3,10.32,-23.68,-77.50737,H161,Baerwald,8,6,2007
Lasiurus cinereus,Summerview,6-Aug-06,j,m,-106.91,6.6,-24.78,-77.216079,H162,Baerwald,8,6,2006
Lasiurus cinereus,Summerview,12-Aug-07,j,m,-106.45,8.73,-24.81,-76.872505,H163,Baerwald,8,12,2007
Lasiurus cinereus,Summerview,19-Aug-07,j,m,-104.36,8.81,-24.13,-75.311484,H164,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,4-Aug-06,j,m,-102.29,9.77,-26.07,-73.765401,H165,Baerwald,8,4,2006
Lasiurus cinereus,Summerview,3-Aug-06,j,m,-102.12,8.07,-25.81,-73.638428,H166,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,17-Aug-06,j,m,-100.64,9.13,-25.39,-72.533016,H167,Baerwald,8,17,2006
Lasiurus cinereus,Summerview,14-Aug-06,j,m,-95.77,9.97,-25.94,-68.895613,H168,Baerwald,8,14,2006
Lasiurus cinereus,Summerview,23-Aug-07,j,m,-94.57,8.67,-21.16,-67.999333,H169,Baerwald,8,23,2007
Lasiurus cinereus,Summerview,23-Aug-06,j,m,-93.29,9.59,-24.77,-67.043301,H170,Baerwald,8,23,2006
Lasiurus cinereus,Summerview,17-Aug-06,j,m,-90.28,7.15,-23.37,-64.795132,H171,Baerwald,8,17,2006
Lasiurus cinereus,Summerview,14-Aug-07,j,m,-89.8,8.88,-24.39,-64.43662,H172,Baerwald,8,14,2007
Lasiurus cinereus,Summerview,14-Aug-06,j,m,-83.51,6.66,-25.03,-59.738619,H173,Baerwald,8,14,2006
Lasiurus cinereus,Summerview,18-Aug-06,j,m,-73.42,11.2,-23.81,-52.202398,H174,Baerwald,8,18,2006
Lasiurus cinereus,Summerview,4-Aug-06,j,m,-69.8,8.22,-22.96,-49.49862,H175,Baerwald,8,4,2006
Lasiurus cinereus,Summerview,9-Aug-07,j,m,-67.72,9.07,-23.87,-47.945068,H176,Baerwald,8,9,2007
