Provider,Site,Site ID,Box,Placement,use this to sort,Species,Year,ID_CP,Age,Sex,RC,dD,Source
WEST,"Backbone Mountain, MD",BKBN_MD,1,C8,48,HOBA,2011,082111_HOBA_T40_1,A,M,U,-70.16,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B2,122,HOBA,2011,SCW3-10-28,A,F,L,-70.08,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E18,198,HOBA,2009,082809_HOBA_T202_1,U,U,U,-69.95,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,D18,178,HOBA,2011,091511_HOBA_T243_1,U,U,U,-69.68,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A3,303,HOBA,2009,082009_HOBA_T89_1,U,U,U,-69.63,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B7,27,HOBA,2011,052811_HOBA_T40_1,A,U,U,-69.53,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,D13,173,HOBA,2011,NEC1-80-89,A,M,UNK,-69.34,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A4,4,HOBA,2011,062211_HOBA_T36_1,A,U,U,-69.34,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,D5,165,HOBA,2011,SCW3-23-61,A,F,NR,-68.94,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B6,26,HOBA,2011,070711_HOBA_T25_1,A,U,U,-68.84,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C1,141,HOBA,2011,NEC1-80-65,A,M,NR,-68.83,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E19,99,HOBA,2011,080611_HOBA_T45_2,A,M,U,-68.75,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A16,316,HOBA,2011,061211_HOBA_1,U,U,U,-68.72,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C14,54,HOBA,2011,082711_HOBA_T45_1,A,M,U,-68.65,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,D20,180,HOBA,2011,100811_HOBA_T208_1,U,U,U,-68.55,Pylant
PA Game Co.,Pennsylvania,PAGC_SW,2,D8,168,HOBA,2011,SW19-06-09,A,F,NR,-68.46,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C4,#REF!,HOBA,2003,090503_HOBA_23_T30,U,U,U,-68.26,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E14,194,HOBA,2009,060809_LACI_T208_1,U,U,U,-68.09,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A15,15,HOBA,2011,062111_HOBA_T26_1,A,M,U,-68.04,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E13,93,HOBA,2011,081311_HOBA_T45_1,A,F,U,-67.95,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D17,77,HOBA,2011,081811_HOBA_TALT2_1,A,F,U,-67.94,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,D4,164,HOBA,2011,SCW3-44-60,A,M,NR,-67.91,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C2,42,HOBA,2011,082111_HOBA_T41_1,A,F,U,-67.86,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E14,94,HOBA,2011,071911_HOBA_T34_1,A,M,U,-67.73,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B12,132,HOBA,2011,SCW1-09-32,A,M,NR,-67.7,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C19,#REF!,HOBA,2003,HOBA_63,U,U,U,-67.58,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C19,59,HOBA,2011,072611_HOBA_T45_1,A,F,U,-67.34,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B12,32,HOBA,2011,070611_HOBA_T33_1,A,M,U,-67.24,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C11,51,HOBA,2011,072111_HOBA_T21_2,A,F,U,-67.03,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E16,96,HOBA,2011,090411_HOBA_T46_4,A,F,U,-66.83,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E2,82,HOBA,2011,071711_HOBA_T45_1,A,M,U,-66.78,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D4,64,HOBA,2011,081811_HOBA_T21_2,A,F,U,-66.53,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D7,67,HOBA,2011,082711_HOBA_T39_2,A,M,U,-66.52,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D16,76,HOBA,2011,082611_HOBA_T46_1,A,M,U,-66.4,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C4,44,HOBA,2011,072611_HOBA_T21_1,A,M,U,-66.26,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E18,98,HOBA,2011,080611_HOBA_T38_2,A,F,U,-66.17,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,B15,335,HOBA,2003,082103_HOBA_21_T29,U,U,U,-66.09,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C17,#REF!,HOBA,2003,HOBA_2,U,U,U,-66.09,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,B17,137,HOBA,2011,NEC1-80-61,A,M,NR,-65.83,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C8,#REF!,HOBA,2003,091103_HOBA_7_T38,U,U,U,-65.8,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C13,153,HOBA,2011,NEC1-73-88,A,F,UNK,-65.72,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,D19,179,HOBA,2011,092911_HOBA_T221_1,U,U,U,-65.72,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C12,52,HOBA,2011,072111_HOBA_T41_1,A,M,U,-65.64,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C7,147,HOBA,2011,NEC1-14-71,A,M,NR,-65.43,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A16,16,HOBA,2011,062211_HOBA_T45_2,A,F,U,-65.34,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D1,61,HOBA,2011,072111_HOBA_T22_1,A,M,U,-65.27,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,C15,155,HOBA,2011,SCW1-04-56,A,M,NR,-65.21,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B11,31,HOBA,2011,070611_HOBA_T42_1,A,M,U,-65.05,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,C14,154,HOBA,2011,SCW1-58-55,A,M,NR,-65.03,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E6,186,HOBA,2010,081610_HOBA_T90_1,U,U,U,-64.99,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E1,81,HOBA,2011,082011_HOBA_T39_1,A,F,U,-64.63,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A8,8,HOBA,2011,070911_HOBA_T26_1,A,F,U,-64.55,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,B19,339,HOBA,2003,083103_HOBA_29_T24,U,U,U,-64.4,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E7,187,HOBA,2010,070510_HOBA_T241_1,U,U,U,-64.38,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,D16,176,HOBA,2011,090811_HOBA_T71_1,U,U,U,-64.31,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E20,200,HOBA,2009,072209_HOBA_T206_1,U,U,U,-64.23,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A5,105,HOBA,2011,080911_HOBA_T34_1,A,M,U,-64.05,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C16,#REF!,HOBA,2003,HOBA_10,U,U,U,-64.05,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C1,41,HOBA,2011,073111_HOBA_T41_1,A,M,U,-64.01,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A6,306,HOBA,2011,080611_HOBA_T204_2,U,U,U,-63.99,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C15,#REF!,HOBA,2003,HOBA_61,U,U,U,-63.85,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E7,87,HOBA,2011,072111_HOBA_T21_1,A,M,U,-63.69,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C7,#REF!,HOBA,2003,083103_HOBA_37_T39,U,U,U,-63.68,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A18,318,HOBA,2011,070311_HOBA_1,U,U,U,-63.64,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C14,#REF!,HOBA,2003,HOBA_55,U,U,U,-63.44,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D20,80,HOBA,2011,072711_HOBA_T23_1,A,M,U,-63.37,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A10,110,HOBA,2011,041211_HOBA_T27_1,U,M,U,-63.35,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,B1,121,HOBA,2011,042711_HOBA_T43_1,A,U,U,-63.23,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C9,149,HOBA,2011,NEC1-73-84,A,M,NR,-63.22,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A1,1,HOBA,2011,060611_HOBA_T37_1,A,M,U,-63.21,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E4,84,HOBA,2011,072811_HOBA_T42_2,A,F,U,-63.2,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,D1,362,HOBA,2003,HOBA_50,U,U,U,-63.17,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C2,#REF!,HOBA,2003,091103_HOBA_2_T44,U,U,U,-62.97,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E9,89,HOBA,2011,072011_HOBA_TALT2_1,A,M,U,-62.94,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D14,74,HOBA,2011,072711_HOBA_T39_1,A,F,U,-62.93,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A2,102,HOBA,2011,082411_HOBA_T22_2,A,M,U,-62.77,Pylant
PA Game Co.,Pennsylvania,PAGC_SW,2,D10,170,HOBA,2011,SW19-21-11,A,M,SCR,-62.64,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A18,18,HOBA,2011,061111_HOBA_T45_1,A,M,U,-62.4,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C9,#REF!,HOBA,2003,052303_HOBA_30_T1,U,U,U,-62.33,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E1,181,HOBA,2011,101011_HOBA_T12_1,U,U,U,-62.29,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E10,190,HOBA,2010,092410_HOBA_T259_1,U,U,U,-61.99,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E5,85,HOBA,2011,090411_HOBA_T43_2,A,M,U,-61.97,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,D1,161,HOBA,2011,SCW3-28-57,A,M,NR,-61.95,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B14,34,HOBA,2011,062011_HOBA_T21_1,A,M,U,-61.92,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,B18,338,HOBA,2003,100903_HOBA_6_T38,U,U,U,-61.84,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,C18,158,HOBA,2011,SCW1-51-59,A,M,NR,-61.73,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B4,24,HOBA,2011,062111_HOBA_T24_1,A,M,U,-61.7,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E12,192,HOBA,2010,061810_HOBA_T69_1,U,U,U,-61.35,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D8,68,HOBA,2011,071811_HOBA_T38_2,A,U,U,-61.24,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C20,60,HOBA,2011,072111_HOBA_T37_1,A,M,U,-61.22,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A8,108,HOBA,2011,072211_HOBA_T26_1,U,U,U,-61.13,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B15,35,HOBA,2011,062311_HOBA_T40_1,A,M,U,-61.11,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C12,152,HOBA,2011,NEC1-17-87,A,M,SCR,-61.02,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C4,144,HOBA,2011,NEC1-5-68,A,M,NR,-60.99,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D11,71,HOBA,2011,072911_HOBA_T41_1,A,M,U,-60.98,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C7,47,HOBA,2011,082611_HOBA_T27_2,A,M,U,-60.97,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C3,#REF!,HOBA,2003,083103_HOBA_44_T39,U,U,U,-60.92,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,D14,174,HOBA,2011,090411_HOBA_T58_1,U,U,U,-60.84,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D10,70,HOBA,2011,081911_HOBA_T19_1,A,F,U,-60.82,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A4,104,HOBA,2011,072811_HOBA_TALT2_2,A,M,U,-60.53,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E3,83,HOBA,2011,080611_HOBA_T45_3,A,M,U,-60.16,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A2,302,HOBA,2009,080509_HOBA_T68_1,U,U,U,-60.15,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B4,124,HOBA,2011,SCW3-23-30,A,M,NR,-59.93,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E8,188,HOBA,2010,081610_HOBA_T30_1,U,U,U,-59.76,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,D3,163,HOBA,2011,SCW3-46-59,A,F,PL,-59.71,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C10,50,HOBA,2011,072011_HOBA_T43_1,A,M,U,-59.68,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A14,14,HOBA,2011,060111_HOBA_T43_1,A,U,U,-59.52,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D19,79,HOBA,2011,071811_HOBA_T45_1,A,F,U,-59.4,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D3,63,HOBA,2011,072511_HOBA_T44_1,A,M,U,-59.33,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C10,150,HOBA,2011,NEC1-19-85,J,F,NR,-59.09,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A12,12,HOBA,2011,062111_HOBA_T32_1,A,M,U,-59.05,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,D6,166,HOBA,2011,SCW3-35-62,J,M,NR,-59,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E8,88,HOBA,2011,072111_HOBA_T40_1,A,M,U,-58.75,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B10,130,HOBA,2011,SCW1-50-30,A,M,NR,-58.67,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B3,23,HOBA,2011,062211_HOBA_T40_1,A,M,U,-58.5,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C5,#REF!,HOBA,2003,082103_HOBA_49_T38,U,U,U,-58.47,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C12,#REF!,HOBA,2003,050703_HOBA_1_T1,U,U,U,-58.29,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A7,107,HOBA,2011,081811_HOBA_TALT1_1,A,M,U,-58.22,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D13,73,HOBA,2011,081911_HOBA_T38_1,A,M,U,-58.21,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B1,21,HOBA,2011,052911_HOBA_T43_1,A,M,U,-58.18,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A14,114,HOBA,2011,092711_HOBA_T41_1,A,M,U,-58.03,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E10,90,HOBA,2011,072511_HOBA_T22_1,U,U,U,-57.88,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A14,314,HOBA,2010,082210_HOBA_a,U,U,U,-57.75,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A17,317,HOBA,2011,061611_HOBA_1,U,U,U,-57.73,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C8,148,HOBA,2011,NEC1-80-83,A,M,NR,-57.71,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B3,123,HOBA,2011,SCW3-35-29,A,F,NR,-57.6,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,D3,364,HOBA,2003,082003_HOBA_16_T22,A,M,U,-57.5,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C17,57,HOBA,2011,072711_HOBA_T44_1,A,U,U,-57.24,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B11,131,HOBA,2011,SCW1-09-31,A,M,NR,-57.17,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,C17,157,HOBA,2011,SCW1-40-58,A,M,NR,-57.16,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D9,69,HOBA,2011,073111_HOBA_T46_1,A,U,U,-57.03,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A9,309,HOBA,2011,082711_HOBA_T53_1,U,U,U,-56.91,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B9,129,HOBA,2011,SCW3-35-35,A,M,NR,-56.66,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A20,20,HOBA,2011,061911_HOBA_T42_1,U,M,U,-56.58,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A5,305,HOBA,2009,082409_HOBA_T242_1,U,U,U,-56.51,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B13,33,HOBA,2011,062111_HOBA_T41_1,A,M,U,-56.36,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,D2,162,HOBA,2011,SCW3-13-58,A,M,NR,-55.94,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E6,86,HOBA,2011,080611_HOBA_T45_1,A,M,U,-55.82,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C5,145,HOBA,2011,NEC1-80-69,A,M,NR,-55.79,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B9,29,HOBA,2011,052811_HOBA_TALT1_1,A,M,U,-55.68,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A17,117,HOBA,2011,092111_HOBA_T34_1,A,M,U,-55.49,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E13,193,HOBA,2010,090910_HOBA_T62_1,U,U,U,-55.48,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B16,136,HOBA,2011,SCW1-51-36,A,M,NR,-55.44,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A9,9,HOBA,2011,071011_HOBA_T45_1,A,M,U,-55.41,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B8,128,HOBA,2011,SCW3-23-34,A,M,NR,-55.39,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C13,#REF!,HOBA,2003,HOBA_78,U,U,U,-55.19,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A18,118,HOBA,2011,042511_HOBA_T36_1,A,M,U,-55.17,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C3,143,HOBA,2011,NEC1-109-67,A,M,NR,-55.06,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E17,97,HOBA,2011,080911_HOBA_T37_1,A,M,U,-54.91,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D12,72,HOBA,2011,081311_HOBA_T42_3,A,M,U,-54.89,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A4,304,HOBA,2009,080909_HOBA_T71_1,U,U,U,-54.67,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B6,126,HOBA,2011,SCW3-46-32,A,M,NR,-54.53,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,C19,159,HOBA,2011,SCW3-47-55,A,M,NR,-54.19,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C1,#REF!,HOBA,2003,091703_HOBA_6_T33,U,U,U,-53.96,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E3,183,HOBA,2011,101111_HOBA_T53_1,U,U,U,-53.9,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B5,125,HOBA,2011,SCW3-19-31,A,M,NR,-53.85,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C3,43,HOBA,2011,090311_HOBA_T44_1,A,M,U,-53.84,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E2,182,HOBA,2011,101111_HOBA_T23_1,U,U,U,-53.54,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A20,120,HOBA,2011,041211_HOBA_T18_1,A,M,U,-53.45,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E11,91,HOBA,2011,080911_HOBA_T38_1,A,M,U,-53.33,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A11,311,HOBA,2010,062210_HOBA_a,U,U,U,-53.11,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A11,111,HOBA,2011,052211_HOBA_T44_1,A,U,U,-53.03,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C6,146,HOBA,2011,NEC1-109-70,A,M,NR,-53.01,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A19,119,HOBA,2011,052311_HOBA_T38_1,A,M,U,-52.89,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E5,185,HOBA,2010,070110_HOBA_T42_1,U,U,U,-52.76,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C11,151,HOBA,2011,NEC1-2-86,A,M,NR,-52.31,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A13,313,HOBA,2010,070310_HOBA_a,U,U,U,-51.28,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B17,37,HOBA,2011,061211_HOBA_TALT1_1,A,U,U,-51.22,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,D17,177,HOBA,2011,091511_HOBA_T216_1,U,U,U,-51.05,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,D7,167,HOBA,2011,SCW3-23-63,J,F,NR,-51.04,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A12,112,HOBA,2011,052211_HOBA_T44_1,A,U,U,-50.66,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,B16,336,HOBA,2003,091803_HOBA_4_T17,U,U,U,-50.37,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,B19,139,HOBA,2011,NEC1-1-63,A,M,NR,-50.22,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C5,45,HOBA,2011,081211_HOBA_T41_2,A,M,U,-50.11,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E15,195,HOBA,2009,061209_LACI_T78_1,U,U,U,-49.72,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,-,-,,HOBA,2011,081011_HOBA_T32_1,A,M,U,-49.56,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A13,13,HOBA,2011,062811_HOBA_TALT1_1,A,M,U,-49.29,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C10,#REF!,HOBA,2003,052503_HOBA_4_T31,U,U,U,-49.09,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A2,2,HOBA,2011,060711_HOBA_T22.5_1,A,M,U,-48.96,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,B18,138,HOBA,2011,NEC1-13-62,J,M,NR,-48.76,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A19,19,HOBA,2011,061711_HOBA_T42_1,A,F,U,-48.42,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A1,301,HOBA,2009,080209_HOBA_T65_1,U,U,U,-47.34,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,C2,142,HOBA,2011,NEC1-73-66,A,M,NR,-46.5,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E20,100,HOBA,2011,080911_HOBA_T18_1,A,M,U,-46.41,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C13,53,HOBA,2011,081811_HOBA_T44_2,A,F,U,-46.06,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A13,113,HOBA,2011,092111_HOBA_T38_1,A,M,U,-45.73,Pylant
PA Game Co.,Pennsylvania,PAGC_NE,2,B20,140,HOBA,2011,NEC1-1-64,A,M,NR,-44.07,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A8,308,HOBA,2011,082611_HOBA_T204_1,U,U,U,-44,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A16,116,HOBA,2011,081011_HOBA_T23_1,A,M,U,-43.88,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E15,95,HOBA,2011,073111_HOBA_T43_3,A,F,U,-42.93,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B5,25,HOBA,2011,062111_HOBA_T21_1,A,M,U,-37.86,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E11,191,HOBA,2010,082510_HOBA_T79_1,U,U,U,-27.68,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,C18,258,SHBA,2011,042410_SHBA_T83_1,U,U,U,,
WV DNR,Mt Storm,MTSTORM_WV,3,D1,261,SHBA,2011,042509_SHBA_T210_1,U,U,U,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,B2,222,SHBA,2011,042811_SHBA_T37_1,U,U,U,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,B7,227,SHBA,2011,050311_SHBA_T25_1,U,U,U,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,B3,223,SHBA,2011,051911_SHBA_T19_1,U,U,U,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,B5,225,SHBA,2011,052211_SHBA_T26_1,U,U,U,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,B1,221,SHBA,2011,052211_SHBA_T26_2,U,U,U,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,B6,226,SHBA,2011,052311_SHBA_T41_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,B4,224,SHBA,2011,052311_SHBA_T41_2,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A20,220,SHBA,2011,052311_SHBA_T46_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,D2,262,SHBA,2011,052909_SHBA_T71_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,D3,263,SHBA,2011,060111_SHBA_T228_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C15,255,SHBA,2011,060210_SHBA_T77_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A19,219,SHBA,2011,060611_SHBA_T43_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A1,201,SHBA,2011,060611_SHBA_TALT2_1,,,,,
