Institution,Specimen ID,Specimen sex,Collection date (Julian date),Collection year,dDFur,Source,Species
Royal Ontario Museum (ROM),ROM10938,male,242,1937,-89,Fraser,LANO
Royal Ontario Museum (ROM),ROM13622,male,215,1939,-90,Fraser,LANO
Royal Ontario Museum (ROM),ROM13624,male,223,1939,-93,Fraser,LANO
Royal Ontario Museum (ROM),ROM16114,male,257,1943,-95,Fraser,LANO
Royal Ontario Museum (ROM),ROM17934,male,192,1890,-84,Fraser,LANO
Royal Ontario Museum (ROM),ROM22030,male,245,1912,-70,Fraser,LANO
Royal Ontario Museum (ROM),ROM2204201407,male,217,1920,-74,Fraser,LANO
Royal Ontario Museum (ROM),ROM23450,male,176,1953,-65,Fraser,LANO
Royal Ontario Museum (ROM),ROM24679,male,217,1930,-68,Fraser,LANO
Royal Ontario Museum (ROM),ROM2909160001,male,208,1929,-64,Fraser,LANO
Royal Ontario Museum (ROM),ROM29539,male,243,1941,-102,Fraser,LANO
Royal Ontario Museum (ROM),ROM32735,male,245,1954,-75,Fraser,LANO
Royal Ontario Museum (ROM),ROM3306200989,male,220,1914,-76,Fraser,LANO
Royal Ontario Museum (ROM),ROM78279,male,246,1959,-79,Fraser,LANO
Royal Ontario Museum (ROM),ROM83899,male,210,1936,-64,Fraser,LANO
Royal Ontario Museum (ROM),ROM86741,male,249,1968,-91,Fraser,LANO
Royal Ontario Museum (ROM),ROM10572,female,210,1937,-74,Fraser,LANO
Royal Ontario Museum (ROM),ROM10574,female,215,1937,-65,Fraser,LANO
Royal Ontario Museum (ROM),ROM13623,female,215,1939,-102,Fraser,LANO
Royal Ontario Museum (ROM),ROM17930,female,189,1890,-85,Fraser,LANO
Royal Ontario Museum (ROM),ROM19783,female,206,1949,-99,Fraser,LANO
Royal Ontario Museum (ROM),ROM19784,female,206,1949,-100,Fraser,LANO
Royal Ontario Museum (ROM),ROM2204201396,female,170,1918,-70,Fraser,LANO
Royal Ontario Museum (ROM),ROM22946,female,226,1939,-91,Fraser,LANO
Royal Ontario Museum (ROM),ROM22947,female,100,1950,-89,Fraser,LANO
Royal Ontario Museum (ROM),ROM2404140074,female,154,1906,-113,Fraser,LANO
Royal Ontario Museum (ROM),ROM24682,female,239,1930,-85,Fraser,LANO
Royal Ontario Museum (ROM),ROM27944,female,257,1957,-77,Fraser,LANO
