AL CODE,Working_ID_Code,Spp,Sex,Age,RC,BatNotes,Collected_Date,Day,Month,Year,Migratory Status,Sampling Method,Source_sampling Agency,Source_name,Source_St,Authorship Considerations?,Verbatim Coords (N),Verbatim Coords (W),Coords_N,Coords_W,Source_County,Source_Region,Source Site,ADDRESS,Other_notes,Even more notes,Data source,Arrival Data / At AL?,Adequate Bat Info?,Adequate Date Info?,Adequate Location info,Hair? (Expected),Tissue? (Expected),In Cortney's Thesis?,In Cortney's Data Sheets?,Hair Sample Location,dD.Values,OurLabID,
2137,201710,LABO,F,,,,6/22/13,22,6,1913,Migrating,Turbine,,Cortney Pylant,AL,,-87.006,34.138,34.14,-87.01,,,Logan,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-19.50,Other,
2138,133142,LABO,F,,,,6/23/04,23,6,1904,Migrating,Turbine,,Cortney Pylant,OK,,-96.179,36.099,36.10,-96.18,,,"Red Fork, 8 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-28.95,Other,
2139,363838,LABO,M ,,,,6/24/61,24,6,1961,Migrating,Turbine,,Cortney Pylant,Indiana,,-87.125,39.524,39.52,-87.13,Clay County,,Brazil,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-32.20,Other,
2140,117411,LABO,F,,,,6/24/02,24,6,1902,Migrating,Turbine,,Cortney Pylant,TX,,-99.22,29.893,29.89,-99.22,,,"Camp Verde, 7 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-18.62,Other,
2141,247332,LABO,F,,,,6/25/27,25,6,1927,Migrating,Turbine,,Cortney Pylant,GA,,-84.77,34.766,34.77,-84.77,,,Chatsworth,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-24.34,Other,
2142,212750,LABO,M ,,,,6/26/16,26,6,1916,Migrating,Turbine,,Cortney Pylant,NC,,-81.253,35.246,35.25,-81.25,,,"Kings Mountain, 5 Mi E",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-16.30,Other,
2143,363714,LABO,F,,,,6/28/62,28,6,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-87.51,41.55,41.55,-87.51,Lake County,,"Munster, 1 Mi S",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-48.64,Other,
2144,133144,LABO,Unknown ,,,,6/29/04,29,6,1904,Migrating,Turbine,,Cortney Pylant,OK,,-96.179,36.099,36.10,-96.18,,,"Red Fork, 8 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-40.78,Other,
2145,348356,LABO,F,,,,6/30/72,30,6,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-21.84,Other,
2146,348357,LABO,F,,,,6/30/72,30,6,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-21.35,Other,
2147,348360,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-31.84,Other,
2148,348363,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-28.38,Other,
2149,348364,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-24.06,Other,
2150,348358,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-22.09,Other,
